blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Panama Elida Natural Lot #13,Old Soul Co.,"Deeply sweet and richly savory. Black cherry, tamarind, liquorice bark and lavender in aroma and cup. Gentle, balanced acidity; levitatingly velvety mouthfeel. Cocoa and black cherry notes predominate in the crisp, resonant finish.","['Fruity', 'Floral', 'Chocolatey']","Sacramento, California","['Cherry', 'Tamarind', 'Lavender', 'Cocoa']","Boquete growing region, western Panama",$20.00/250 grams,December 2015,Light,916-443-7685,www.oldsoulco.com
Emma’s Jo: The Leam Hammer Competition Espresso,Dragonfly Coffee Roasters,"Evaluated as espresso. Fruit-forward, chocolaty, intricately structured. Blood orange, dark chocolate, saffron, lavender in aroma and small cup. Plump, silky mouthfeel; citrus, lavender and chocolate notes carry into a long, rich, expansive finish. The chocolate, flowers and fruit round but resonate harmoniously in three parts milk.","['Fruity', 'Chocolatey', 'Floral']","Boulder, Colorado","['Orange', 'Chocolate', 'Lavender']",Central America; South America; East Africa,$18.00/12 ounces,December 2015,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Costa Rica Sumava Natural Lot,Old Soul Co.,"Invitingly spicy and expansive. Candied ginger, cocoa nib, lychee and vanilla in aroma and cup. Delicate, juicy acidity; full, satiny mouthfeel. Richly drying finish features cocoa nib and ginger notes and lingering hints of lychee.","['Spice', 'Chocolatey', 'Fruity', 'Sweet']","Sacramento, California","['Ginger', 'Cocoa', 'Lychee', 'Vanilla']","Lourdes de Naranjo, West Valley, Costa Rica",$20.00/250 grams,December 2015,Light,916-443-7685,www.oldsoulco.com
Panama Auromar Geisha Natural Peaberry,PT's Coffee Roasting Co.,"Delicately sweet and exotically spicy. Tea rose, cocoa nib, cedar, frankincense, much more in aroma and cup. Dynamic and expansive acidity; satiny mouthfeel. Rich, resonant finish infused with musky floral notes far into the long.","['Earthy/Herbal', 'Floral', 'Chocolatey']","Topeka, Kansas","['Tea', 'Rose', 'Cocoa', 'Cedar']","Boquete growing region, western Panama",$40.00/8 ounces,December 2015,Medium-Light,888-678-5282,www.ptscoffee.com
El Burro Geisha Tachi Natural,Geisha Coffee Roaster,"Delicate, immense, deeply floral. Rose, hazelnut, vanilla and cocoa butter in aroma and cup. Juicy, sweet acidity; silky-smooth mouthfeel. Long, crisp, cocoa-laden and floral finish.","['Floral', 'Nutty', 'Sweet', 'Chocolatey']","Ovledo, Florida","['Rose', 'Hazelnut', 'Vanilla', 'Cocoa', 'Butter']","Boquete growing region, western Panama",$46.95/12 ounces,December 2015,Medium-Light,407-409-8704,www.geishacoffee.com
Holiday Blend,Ghost Town Coffee Roasters,"Intricately sweet, delicately composed. Lilac-like flowers, blueberry, pink grapefruit zest, cocoa nib in aroma and cup. Vibrant, lyrical acidity; silky-smooth mouthfeel. Richly drying fruit- and floral-toned finish.","['Fruity', 'Chocolatey']","Bozeman, Montana","['Blueberry', 'Grapefruit', 'Cocoa']",Ethiopia; Kenya.,$15.25/12 ounces,December 2015,Medium-Light,406-586-0777,www.ghosttowncoffee.com
Holiday Blend,Lab 146,"Vivaciously sweet and spicy. Dried fig, lemon zest, rose-like flowers and roasted cocoa nib in aroma and cup. Bright, juicy acidity; lightly silky mouthfeel. Spice-toned sweetness carries deep into a resonant finish.","['Fruity', 'Chocolatey']","Kaohsiung, Taiwan","['Fig', 'Lemon', 'Cocoa']",Guatemala; Ethiopia.,$25.00/8 ounces,December 2015,Light,886-72-85,
Nicaragua Pacamara Los Congos Lot #8,Old Soul Co.,"Delicate, sweetly pungent, spicy. Crisp peach, black tea, magnolia-like flowers and lemon zest in aroma and cup. Juicy, bright acidity; lightly silky mouthfeel. Peach, black tea and floral notes carry deep into a crisply sweet finish.","['Fruity', 'Earthy/Herbal']","Sacramento, California","['Peach', 'Tea', 'Lemon']","San Fernando, Nueva Segovia region, Nicaragua",$20.00/250 grams,December 2015,Light,916-443-7685,www.oldsoulco.com
Panama Boquete Kotowa Gesha Natural,Giv COFFEE,"Intricately fruity and richly savory. Plumeria-like flowers, dried hibiscus, cinnamon bark, almond in aroma and cup. Quietly tart acidity; satiny mouthfeel. Floral, nutty, sweetly resonant finish.","['Floral', 'Spice', 'Nutty']","Torrington, Connecticut","['Hibiscus', 'Cinnamon', 'Almond']","Boquete growing region, western Panama",$45.00/8 ounces,December 2015,Light,860-874-5301,www.givcoffee.com
Holiday Blend,Olympia Coffee Roasting,"Delicately and richly pungent. Orange zest, rooibos, narcissus-like flowers and baker’s chocolate in aroma and cup. Richly brisk acidity; lightly velvety mouthfeel. Smooth, richly drying finish infused with cocoa and citrus notes.","['Fruity', 'Chocolatey']","Olympia, Washington","['Orange', 'Chocolate', 'Cocoa']",Honduras; Kenya; Ethiopia,$18.90/12 ounces,December 2015,Medium-Light,360-753-0066,www.olympiacoffeeroasting.com
Panama Finca Auromar Camilina Natural,Willoughby's Coffee & Tea,"Delicately sweet, intricate, rich. Honey, grapefruit zest, roasted cacao nib, rose-like flowers in aroma and cup. Balanced, gently bright acidity; buoyant, lightly syrupy mouthfeel. Resonantly flavor-saturated finish.","['Sweet', 'Fruity', 'Chocolatey']","Branford, Connecticut","['Honey', 'Grapefruit', 'Cacao']","Piedra Candela, Chiriqui Province, western Panama",$50.00/8 ounces,December 2015,Light,800-388-8400,www.willoughbyscoffee.com
El Aguila SL-28 El Salvador,JBC Coffee Roasters,"Rich, cedar-rounded and sweetly nutty. Candied blood orange, cocoa powder, wisteria and baked apple in aroma and cup. Plump, juicy acidity; smooth, creamy mouthfeel. Crisp, spicy, cocoa-toned short finish; floral notes persist far into the long.","['Fruity', 'Chocolatey']","Madison, Wisconsin","['Orange', 'Cocoa', 'Apple']","Santa Ana growing region, El Salvador",$18.75/12 ounces,November 2015,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Ethiopia Sidama Special Lot Natural,Dragonfly Coffee Roasters,"Complex, fruity and spice-toned. Sugared grapefruit, saffron, jasmine and cocoa nib in aroma and cup. Buoyant, expansive acidity; silky-smooth mouthfeel. Spice notes of saffron and clove carry through the quietly resonant finish.","['Fruity', 'Floral', 'Chocolatey', 'Spice']","Boulder, Colorado","['Grapefruit', 'Jasmine', 'Cocoa', 'Clove']","Guji Zone, Sidama Province, southern Ethiopia",$18.00/12 ounces,November 2015,Light,303-579-2154,www.dragonflycoffeeroasters.com
Panama Finca Deborah Caturra Natural,Temple Coffee and Tea,"Immensely sweet; seductively rich. Butterscotch, blood-orange zest, almond butter, roasted cacao nib in aroma and cup. Balanced, buoyantly vibrant acidity; lightly syrupy mouthfeel. Citrus and nut butter carry deep into the long finish.","['Nutty', 'Sweet', 'Chocolatey']","Sacramento, California","['Almond', 'Butter', 'Cacao']","Chiriqui, Boquete growing region, western Panama",$20.00/8 ounces,November 2015,Light,916-454-1282,www.templecoffee.com
Nekisse Red N2 Level 39,AHRIRE Roasting,"Invitingly complex, vividly expressive. Starfruit, musk, butterscotch, dark chocolate in aroma and cup. Lyric, gracefully coherent acidity; ultra-silky mouthfeel. A full complement of flavor notes carry deep into a long, resonant finish.",['Chocolatey'],"Pu'Er Yunnan Province, China",['Chocolate'],"Sidamo (also Sidama) growing region, southern Ethiopia",RMB $235/125 grams,November 2015,Medium-Light,,
Panama La Esmeralda Bosque Lot 1 Gesha,Bird Rock Coffee Roasters,"Delicate, crisply sweet, honey-rounded. Plum blossom, apple, lemon verbena and pistachio in aroma and cup. Juicy, balanced and seductive acidity; lightly satiny mouthfeel. Lemon verbena saturates the crisply dry finish.",['Fruity'],"San Diego, California","['Plum', 'Apple', 'Lemon']","Boquete growing region, western Panama",$48.00/8 ounces,November 2015,Light,858-551-1707,www.birdrockcoffee.com
Finca La Mula Panama Geisha Natural,JBC Coffee Roasters,"Big, musky, floral. Cocoa nib, pomegranate, lilac and Brazil nut in aroma and cup. Juicy, vibrant acidity; velvety, smooth mouthfeel. Crisp, nutty, flavor-saturated in the short finish; bittersweet and pleasantly dry in the long.","['Chocolatey', 'Fruity']","Madison, Wisconsin","['Cocoa', 'Pomegranate']","Chiriqui, western Panama.",$49.95/8 ounces,November 2015,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
La Lagunita El Salvador,JBC Coffee Roasters,"Strikingly rich, spice-toned. Sandalwood, tangerine, vanilla and cocoa in aroma and cup. Bright, fruity acidity; syrupy, yet levitatingly buoyant mouthfeel. Spicy, richly drying finish redolent of vanilla and sandalwood.","['Fruity', 'Sweet', 'Chocolatey']","Madison, Wisconsin","['Tangerine', 'Vanilla', 'Cocoa']","Apaneca, El Salvador",$18.75/12 ounces,November 2015,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Kenya Kinuyu AA,Temple Coffee and Tea,"Big, exuberant, rich, comprehensive. Mulberry, vanilla bean, butterscotch, orchid-like flowers in aroma and cup. Round, ringingly sweet acidity; full, syrupy mouthfeel. Very long, resonantly flavor-saturated finish.",['Sweet'],"Sacramento, California",['Vanilla'],"Kirinyaga District, south-central Kenya",$21.00/12 ounces,November 2015,Medium-Light,916-454-1282,www.templecoffee.com
Costa Rica Alberto Guardia Venecia Honey,Temple Coffee and Tea,"Deeply sweet, lyrically balanced. Honey, honeysuckle, hazelnut, cacao nib, crisp pear in aroma and cup. Gracefully and gently brisk acidity; silky, buoyant mouthfeel. The sweet honey/honeysuckle and the crisp cacao nib and hazelnut notes carry into a quietly flavor-saturated finish.","['Sweet', 'Floral', 'Nutty', 'Chocolatey', 'Fruity']","Sacramento, California","['Honey', 'Honeysuckle', 'Hazelnut', 'Cacao', 'Pear']","Central Valley, Costa Rica",$18.50/12 ounces,November 2015,Light,916-454-1282,www.templecoffee.com
Nicaragua Cafe Vidita Los Congos Pacamara Natural,Dragonfly Coffee Roasters,"Complex, pungently juicy. Rose-like flowers, roasted cacao nib, candied lemon, mulberry in aroma and cup. Sweet-toned, softly lively acidity; plush, satiny mouthfeel. Deep and flavor-saturated in the finish.","['Chocolatey', 'Fruity']","Boulder, Colorado","['Cacao', 'Lemon']","Nueva Segovia, Nicaragua",$18.00/12 ounces,November 2015,Light,303-579-2154,www.dragonflycoffeeroasters.com
Kenya Kigutha AA,Barrington Coffee Roasting Co.,"Big, sweet, brightly juicy. Blood orange, black currant, complex flowers (lily, rose, violet), in aroma and cup. Sweet, zesty acidity; satiny mouthfeel. Flavor consolidates around flowers and citrus in a richly drying finish.","['Fruity', 'Floral']","Lee, Massachusetts","['Orange', 'Rose']","Kiambu growing region, south-central Kenya.",$17.95/12 ounces,November 2015,Medium-Light,800-528-0998,www.barringtoncoffee.com
Panama Altieri Natural Geisha,Klatch Coffee,"Intricate; lushly fruit-forward and round. Lilac, tangerine, almond butter, Cognac and ultra-fine musk in aroma and cup. Juicy, richly floral acidity; silky, levitating mouthfeel. Crisp, sweet, long-lasting finish redolent of musk.","['Fruity', 'Nutty', 'Sweet']","Los Angeles, California","['Tangerine', 'Almond', 'Butter']","Boquete growing region, western Panama",$49.95/8 ounces,October 2015,Medium,877-455-2824,www.klatchroasting.com
Organic Espresso,Cafe Virtuoso,"Evaluated as espresso. Sweet-toned, round, deep. Dark chocolate, roasted almond, ripe fig, lily, oak. Full, syrupy mouthfeel. Chocolate and fig in particular carry into a resonant, balanced finish. Fills out three parts milk with authority: more rounded fig, chocolate and lily.","['Chocolatey', 'Nutty', 'Fruity']","San Diego, California","['Chocolate', 'Almond', 'Fig']",Not disclosed.,$15.00/12 ounces,October 2015,Medium,619-550-1830,www.cafevirtuoso.com
Kemgin Ninety Plus,Barrington Coffee Roasting Co.,"High-toned and exhilarating. Complex flowers (lavender, violet, saffron), cocoa, blood orange, sandalwood, a savory hint of ginseng in aroma and cup. Richly and delicately bright acidity; light, silky mouthfeel. Cocoa and ginseng notes in particular carry into a deep, savory-edged finish.","['Floral', 'Chocolatey', 'Fruity']","Lee, Massachusetts","['Lavender', 'Cocoa', 'Orange']","Wellega, Sidama and Yirgacheffe growing regions, southern and western Ethiopia",$25.95/12 ounces,October 2015,Medium-Light,800-528-0998,www.barringtoncoffee.com
Ethiopia Nigusse Lemma,Barrington Coffee Roasting Co.,"Subtle, elegant, alluring. Brisk, vibrant acidity and aromas of almond, brown sugar, lemon zest and rose. In the cup, persimmon and almond flavors dominate. Satiny mouthfeel. Floral-toned and pleasantly bitter finish, redolent of almond milk.","['Nutty', 'Fruity', 'Floral']","Lee, Massachusetts","['Almond', 'Lemon', 'Rose']","Limu growing region, western Ethiopia",$16.95/12 ounces,October 2015,Medium-Light,800-528-0998,www.barringtoncoffee.com
Panama Don Pepe Estate Geisha Single-Origin Espresso,Temple Coffee and Tea,"Evaluated as espresso. Delicately yet vastly intricate; crisp yet lush. Buttery chocolate, deeply sweet, lilac-like flowers, pungent sandalwood in aroma and small cup. Light, silky mouthfeel; flavor consolidates but rings on in a richly drying finish. Complex and complete in three parts milk: buttery, fruit-toned chocolate, a continuing shimmer of flowers.",['Chocolatey'],"Sacramento, California",['Chocolate'],"Boquete growing region, western Panama",$19.50/12 ounces,October 2015,Medium,916-454-1282,www.templecoffee.com
Ichamama Kenya,JBC Coffee Roasters,"Very sweet; subtle and intricate. Lush star fruit, red currant, honeysuckle, a hint of cinnamon in aroma and cup. Crisp yet juicy acidity; softly plush mouthfeel. Fruit, flowers and cinnamon all carry into a richly and roundly drying finish.","['Floral', 'Spice']","Madison, Wisconsin","['Honeysuckle', 'Cinnamon']","Nyeri County, Central Highlands, Kenya",$16.10/12 ounces,October 2015,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Las Flores Espresso,JBC Coffee Roasters,"Evaluated as espresso. Deeply and roundly bright, balanced, complete. Cedar, blood orange, apricot, baker’s chocolate, a hint of lily in aroma and small cup. Syrupy though buoyantly lively mouthfeel; orangy chocolate and a hint of lily carry into a richly sweet finish. Fills out three parts milk with authority: orange- and cedar-toned chocolate, hints of lily and stone fruit.","['Earthy/Herbal', 'Fruity', 'Chocolatey']","Madison, Wisconsin","['Cedar', 'Orange', 'Apricot', 'Chocolate']","Santa Maria de Dota valley, Tarrazu growing region, Costa Rica",$15.80/12 ounces,October 2015,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
El Salvador Finca Medrano Pacamara Nohemi Ventura,Namusairo Coffee,"Subtle, round, quietly but deeply complex. Fresh-cut cedar, almond, pungent berry (elderberry, blackberry), tea rose, nutmeg. Round, resonantly brisk acidity; velvety mouthfeel. Rich, balanced, gently flavor-saturated finish.","['Earthy/Herbal', 'Nutty', 'Fruity', 'Floral', 'Spice']","Seoul, South Korea","['Cedar', 'Almond', 'Blackberry', 'Tea', 'Rose', 'Nutmeg']","Chalatenango growing region, northwestern El Salvador","KRW 40,000/500 grams",October 2015,Light,,www.namusairo.com
Ethiopia Jimma Agaro,Crimson Cup Coffee & Tea,"Lyric, delicately rich, levitating. Juicy, floral-toned acidity; smooth, supple mouthfeel. Crisp cacao and nut, musky lily, cleanly lush fruit (strawberry guava, tangerine) in aroma and cup. Surprisingly deep, resonantly flavor-saturated finish.
Who should drink it: Those who value a coffee both delicate and lush, pure yet musky and deep.","['Chocolatey', 'Fruity']","Columbus, Ohio","['Cacao', 'Strawberry', 'Tangerine']","Jimma Zone, Oromia State, Ethiopia",$20.00/12 ounces,October 2015,Light,614-262-6212,www.crimsoncup.com
Rwanda Silverback Espresso,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Distinctive but extraordinarily complete and balanced in structure. Dark chocolate, black cherry, violet, oak in aroma and small cup. Full, nectar-like mouthfeel; sweet, violet-toned finish. Big, rich presence in three parts milk: floral chocolate and a buttery nut note.","['Chocolatey', 'Fruity']","Taoyuan City, Taiwan","['Chocolate', 'Cherry']",Rwanda.,"NT $1,200/16 ounces",September 2015,Medium-Dark,886-0983-749876,
Ecuador “Mama Kilya” Espresso,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Profoundly floral-toned, delicately bright. Complex flowers (lilac, lily, honeysuckle), tangerine-like citrus, cedar, nut-toned chocolate in aroma and small cup. Lightish but velvety mouthfeel; chocolate and cedar in particular carry into a clean finish. In three parts milk delicate but authoritative: very sweet citrus, chocolate, flowers.","['Floral', 'Earthy/Herbal', 'Chocolatey']","Taoyuan City, Taiwan","['Honeysuckle', 'Cedar', 'Chocolate']",Ecuador.,"NT $2,000/16 ounces",September 2015,Medium-Dark,886-0983-749876,
Ethiopia Hambela,Lexington Coffee Roasters,"Round, deep, pungently fruit-toned. Cherry, blueberry, dark chocolate, wisteria, a hint of brandy in aroma and cup. Vibrant floral-toned acidity; lively satiny mouthfeel. Flavor – chocolate, fruit, flowers, brandy – saturate a richly though gently drying finish.","['Fruity', 'Chocolatey']","Lexington, Virginia","['Cherry', 'Blueberry', 'Chocolate']","Hambela district, Oromia growing region, southern Ethiopia",$18.95/12 ounces,September 2015,Medium-Light,800-322-6505,www.lexingtoncoffee.com
Kenya Nyeri Peaberry,Topeca Coffee Roasters,"Pungent, layered, deeply complex. Blackcurrant, dark chocolate, lavender, orange zest, fresh-cut maple in aroma and cup. Vivid, brightly sweet acidity; light but silky mouthfeel. Round, ringingly rich finish, saturated with flavor.","['Chocolatey', 'Floral', 'Fruity']","Tulsa, Oklahoma","['Chocolate', 'Lavender', 'Orange']","Nyeri County, Central Highlands, Kenya.",$14.40/12 ounces,September 2015,Medium-Light,918-398-8022,www.topecacoffee.com
Panama Lino Esmeralda Geisha Natural,Bird Rock Coffee Roasters,"Crisply sweet, deeply and exhilaratingly intricate. Orange blossom, ripe raspberry, roasted cacao nib, sandalwood in aroma and cup. Brisk but juicy, complexly nuanced acidity; smooth, satiny mouthfeel. Flavor consolidates but resonates in a long, echoing finish.","['Fruity', 'Chocolatey']","La Jolla, California","['Orange', 'Raspberry', 'Cacao']","Cañas Verdes, Boquete growing region, western Panama.",$51.00/8 ounces,September 2015,Light,858-551-1707,www.birdrockcoffee.com
Ethiopia Sidama Akrabi,Illuminista Coffee Roasters,"Richly pungent, juicy. Honeysuckle, mango, almond butter, roasted cacao nib, a hint of myrrh in aroma and cup. Round, resonant acidity; plush, lightly syrupy mouthfeel. Flowers and cacao in particular carry into a sweet, resonant finish.","['Floral', 'Fruity', 'Nutty', 'Sweet', 'Chocolatey']","Lake, Michigan","['Honeysuckle', 'Mango', 'Almond', 'Butter', 'Cacao']","Guji Zone, Sidama Province, southern Ethiopia.",$15.00,September 2015,Medium-Light,,www.illuministacoffee.com.
Kenya AA Gakuyuri,BeanFruit Coffee Co.,"Sweetly and gently pungent, subtly intricate, complete. Honey, mulberry, tea rose, sweet grapefruit, thyme in aroma and cup. Bright, vibrant acidity; satiny mouthfeel. A chocolaty note surfaces in a long, flavor-saturated finish.","['Sweet', 'Earthy/Herbal', 'Floral', 'Fruity']","Jackson, Mississippi","['Honey', 'Tea', 'Rose', 'Grapefruit']","Kirinyaga growing district, south-central Kenya.",$15.25/12 ounces,September 2015,Medium-Light,,
Kenya Embu Gakui Peaberry,Giv COFFEE,"Intense, pungent, juicy. Berry (raspberry, black currant), complex flowers (lavender, lilac), dark chocolate, a hint of cooked squash or beet in aroma and cup. Richly balanced, wine-toned acidity; full, nectar-like mouthfeel. Chocolate and flowers, in particular, carry into a resonant, balanced finish.","['Fruity', 'Floral', 'Chocolatey', 'Earthy/Herbal']","Torrington, Connecticut","['Raspberry', 'Lavender', 'Chocolate', 'Squash']","Kiambu County, south-central Kenya.",$17.50/12 ounces,September 2015,Medium-Light,860-874-5301,www.givcoffee.com
Kenya AA Kigwandi Estate,Willoughby's Coffee & Tea,"Sweetly and deeply pungent. Black currant, tangerine, roasted cacao nib, lily-like flowers, a hint of savory black sage in aroma and cup. Lyric, balanced acidity; full, cushiony mouthfeel. Resonant, flavor-saturated finish.","['Fruity', 'Chocolatey', 'Earthy/Herbal']","Branford, Connecticut","['Tangerine', 'Cacao', 'Sage']","Nyeri County, Central Highlands, Kenya.",$17.99/16 ounces,September 2015,Medium-Light,800-388-8400,www.willoughbyscoffee.com
Ethiopia Yirgacheffe Buna Ababa,Coffee Factorial,"Delicate, brightly floral, exhilarating. Tangerine, lavender-like flowers, peach, musk in aroma and cup. Sweetly brisk, buoyantly lively acidity; light but very silky mouthfeel. Peach and floral notes in particular carry into a crisp though sweet-toned finish.",['Fruity'],"San Diego, California","['Tangerine', 'Peach']","Yirgacheffe growing region, southern Ethiopia.",$15.00/8 ounces,August 2015,Medium-Light,,
Panama Don Pepe Fully Washed Geisha,Temple Coffee and Tea,"Massively rich and intricate. Minty dark chocolate, sandalwood, vanilla, narcissus-like flowers, a pungent hint of ripe mango in aroma and cup. Sweetly brisk acidity; full, syrupy mouthfeel. Flowers, chocolate and mango ring on in a resonant, richly drying finish.","['Chocolatey', 'Sweet', 'Fruity']","Sacramento, California","['Chocolate', 'Vanilla', 'Mango']","Boquete growing region, western Panama.",$40.00/8 ounces,August 2015,Medium-Light,916-454-1282,www.templecoffee.com
Golden Mean Espresso Blend,Kean Coffee,"Evaluated as espresso. Deeply sweet yet richly tart; intricate. Bakers’ chocolate, raspberry, blood orange, lily-like flowers in aroma and small cup. Plump, velvety mouthfeel. Lightly resonant, savory-sweet finish. In three parts milk, buttery cocoa, tart fruit and big floral notes.","['Chocolatey', 'Fruity']","Newport Beach, California","['Chocolate', 'Raspberry', 'Orange', 'Cocoa']",Not disclosed.,$14.95/12 ounces,August 2015,Medium,949-933-9164,www.keancoffee.com
Finca La Mula Panama Geisha,JBC Coffee Roasters,"Immense, sweet, juicy, intricate. Lilac and jasmine, peach, apricot, rosehip, much more in aroma and cup. A vibrant but unobtrusive acidity shimmers in the heart of the sweetness; mouthfeel is satiny, full, almost nectar-like. Flavor, particularly the crisper notes, carries deep into a sweet, peachy finish.","['Floral', 'Fruity']","Madison, Wisconsin","['Jasmine', 'Peach', 'Apricot']","Chiriqui, western Panama.",$59.95/8 ounces,July 2015,Medium,608-256-5282,www.jbccoffeeroasters.com
S.O. Espresso Brazil Fazenda Santa Ines,Paradise Roasters,"Evaluated as espresso. Deep, pungent, complex. Dark chocolate, black cherry, musky lily, hints of oak and thyme in aroma and small cup. Plump, satiny mouthfeel. Lily and oak in particular carry into a crisply sweet finish. Maintains pungent authority in three parts milk: fudgy chocolate, cherry, oak.","['Chocolatey', 'Fruity']","Ramsey, Minnesota","['Chocolate', 'Cherry']","Carmo de Minas growing region, Minas Gerais State, Brazil.",$12.95/12 ounces,July 2015,Medium,763-433-0626,www.paradiseroasters.com
Black House,Modern Times,"Extraordinarily deep, resonant, juicy. Minty dark chocolate, orange marmalade, raspberry, hints of wisteria-like flowers and myrrh in aroma and cup. Vibrant, low-toned acidity; syrupy but buoyant mouthfeel. Long, echoing, flavor-saturated finish.","['Chocolatey', 'Fruity']","San Diego, California","['Chocolate', 'Orange', 'Raspberry']","Oromia region, southern Ethiopia; Mandheling growing region, northern Sumatra, Indonesia.",$14.00/12 ounces,July 2015,Medium-Light,,www.moderntimescoffee.com
Kenya Gachatha AA,Klatch Coffee,"Extraordinary authority and complexity. Honey, complexly-expressed flowers – lavender, lilac – candied grapefruit, underlying suggestions of sweet herb. Sweetly and richly bright acidity; buoyantly syrupy mouthfeel. Finishes with immense sweetness enveloping a crisp, drying edge.","['Sweet', 'Floral', 'Fruity']","Los Angeles, California","['Honey', 'Lavender', 'Grapefruit']","Nyeri growing region, south-central Kenya.",$24.95/12 ounces,June 2015,Medium-Light,877-455-2824,www.klatchroasting.com
Burundi Kayanza Province Mpanga Washing Station,Victrola Coffee Roasters,"Richly sweet; layered complexity. Pomogranate, narcissus, round, caramelly chocolate, a pungent hint of pine in aroma and cup. Balanced, lyrically lively acidity; plump, satiny mouthfeel. Chocolate and a hint of pine in a lightly drying finish.",['Chocolatey'],"Seattle, Washington",['Chocolate'],"Kayanza Province, northern Burundi.",$21.00/12 ounces,June 2015,Medium-Light,206-624-1725,www.victrolacoffee.com
Ethiopia Yirgacheffe Dabub Matebya,Flight Coffee Co.,"Complex, deep, sweetly tart. Tangerine, fresh-cut cedar, freesia-like flowers, honey in aroma and cup. Richly vivacious acidity; syrupy, buoyant mouthfeel. Tangerine and honey-toned flowers carry into a sweet, gently drying finish.","['Fruity', 'Earthy/Herbal', 'Sweet']","Bedford, New Hampshire","['Tangerine', 'Cedar', 'Honey']","Yirgacheffe growing region, south-central Ethiopia.",$15.00/12 ounces,June 2015,Light,603-836-6228,www.flightcoffeeco.com
Yemen Haraaz Red A+,Dragonfly Coffee Roasters,"Vivid with complex, shifting fruit and floral notes. Vanilla, raspberry, roasted cacao nib, sandalwood, hints of spearmint and violet in aroma and cup. Balanced but vibrant acidity; syrupy, lively mouthfeel. Deeply sweet, flavor-saturated finish, very slightly though richly drying in the long.","['Sweet', 'Fruity', 'Chocolatey']","Boulder, Colorado","['Vanilla', 'Raspberry', 'Cacao']","Haraz (also spelled Haraaz) growing region, north-central Yemen",$19.00/8 ounces,June 2015,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
El Salvador Finca Loma La Gloria,Bird Rock Coffee Roasters,"A fine coffee that is fine in unusual ways. A sweet, fragrant wood note dominates; we associated it most closely with sassafras. In and around it: vanilla, rose-like flowers, musk, a richly tart citrus (candied tangerine?). Tartly juicy acidity; full, syrupy mouthfeel. Vanilla, musk and rose in particular carry into a finish that, as it lengthens, continues to modulate and surprise.","['Sweet', 'Fruity', 'Floral']","La Jolla, California","['Vanilla', 'Tangerine', 'Rose']","El Boqueron, Volcan de San Salvador, El Salvador.",$18.99/12 ounces,June 2015,Light,858-551-1707,www.birdrockcoffee.com
Ethiopia Sidama Ardi,Victrola Coffee Roasters,"Immensely sweet, lushly aromatic. A complex layering of fruit – strawberry guava, pomegranate, mango – plus plumeria-like flowers, sandalwood, roasted cacao nib in aroma and cup. Plump, juicy acidity; syrupy though lively mouthfeel. Deeply flavor-saturated finish.","['Fruity', 'Chocolatey']","Seattle, Washington","['Strawberry', 'Pomegranate', 'Mango', 'Cacao']","Guji Zone, Sidama Province, southern Ethiopia.",$19.00/12 ounces,June 2015,Medium-Light,206-624-1725,www.victrolacoffee.com
Ethiopia Washed Limu Gera,Kakalove Cafe,"Delicately but deeply complex, seductive. Jasmine, sandalwood, pineapple, papaya, crisp roasted cacao nib in aroma and cup. Gently lush, juicy acidity; very smooth, silky mouthfeel. Jasmine, sandalwood and a hint of bergamot last far into a sweet, resonant finish.","['Floral', 'Fruity', 'Chocolatey', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Jasmine', 'Pineapple', 'Papaya', 'Cacao', 'Bergamot']","Limu Woreda, southwest Ethiopia.",$17.00/16 ounces,June 2015,Medium-Light,,www.kakalovecafe.com.tw
Ethiopia Aricha,Seasons Coffee Roasters,"Intense yet delicate; intricate. Star fruit and sweet strawberry, jasmine, sandalwood, roasted cacao nib in aroma and cup. Sweetly crisp acidity; light, silky mouthfeel. Flavor deeply saturates a resonantly sweet, gently drying finish.","['Fruity', 'Floral', 'Chocolatey']","Sacramento, California","['Strawberry', 'Jasmine', 'Cacao']","Yirgacheffe growing region, southern Ethiopia.",$24.00/16 ounces,June 2015,Light,916-905-7160,www.seasonscoffee.us
Ace Espresso,Propeller Coffee,"Evaluated as espresso. Brightly juicy, sweetly floral. Honey, tangerine, red-currant jelly, lilac, backgrounded chocolate fudge in aroma and small cup. Full, syrupy mouthfeel. The finish, sweet and richly drying, consolidates around citrus and chocolate. Smoothly bright and balanced in three parts milk – delicate chocolate, creamy citrus, a continuing hint of flowers.","['Sweet', 'Fruity', 'Chocolatey']","Toronto, Ontario, Canada","['Honey', 'Tangerine', 'Chocolate']",Kenya; Brazil.,$16.00/16 ounces,June 2015,Medium-Light,416-479-3771,www.propellercoffee.com
